"","WORKTYPE","VARIETY","FREEDOM","HUMAN","SCHEDULE","SALARIES","SECURITY","FAMILY","INTEREST","NEARHOME","ATMOSPHE","SOC_ADV","OWN_BOSS","LIKE_IT","OTHER","NONE","OUTDOORS","NO_ANS","NO_DIPL","HIGH_SCH","FIRM10","FIRM500","FIRM1000"
"1","Farming-fishing           ",4,189,0,3,2,2,9,3,12,2,1,4,11,15,12,8,1,93,18,187,2,0
"2","Farm-food industry        ",1,13,3,10,17,12,4,1,8,3,5,1,9,5,11,0,0,32,15,12,40,11
"3","Energy-mines              ",1,9,1,0,4,13,0,2,2,0,2,1,4,3,6,1,0,9,8,6,17,6
"4","Steel                     ",5,5,2,9,18,5,3,2,6,5,5,0,2,3,22,0,0,29,4,4,30,27
"5","Chemical-glass-oil        ",2,7,1,4,15,5,2,1,6,1,2,2,3,0,5,0,1,13,13,3,14,25
"6","Wood-paper                ",2,5,0,4,1,0,3,0,2,1,1,1,1,0,3,0,2,10,5,6,11,0
"7","Auto-aviation-shipping    ",2,3,1,8,16,17,1,8,7,2,4,3,6,1,24,0,1,25,4,7,19,61
"8","Textile-leather-shoes     ",3,18,0,6,16,5,4,4,13,4,2,3,6,2,26,0,2,28,4,24,38,6
"9","Pharmaceutical industries ",3,7,3,6,6,0,0,2,6,3,3,0,2,1,8,0,0,11,11,6,16,9
"10","Manufacturing             ",0,18,1,12,31,7,0,8,19,11,3,2,10,4,26,0,6,51,26,32,40,30
"11","Construction              ",7,63,2,9,31,9,4,6,9,10,3,4,14,8,35,2,2,69,28,74,49,8
"12","Food-grocery              ",2,43,16,7,6,4,7,1,8,2,0,1,6,1,7,0,3,26,9,81,13,1
"13","Small business            ",8,95,23,15,15,2,13,7,9,5,2,3,13,4,18,1,3,34,62,163,21,3
"14","Miscellaneous business    ",5,32,9,9,17,4,5,4,7,4,3,0,8,3,18,0,3,33,29,67,29,3
"15","Administrative services   ",8,26,10,24,24,80,10,17,11,3,8,2,6,9,16,3,4,35,79,53,79,37
"16","Telecommunications        ",1,7,2,11,3,14,2,6,3,1,1,2,1,3,5,0,2,4,18,10,20,10
"17","Social services           ",4,10,10,8,2,1,6,4,2,3,1,0,3,2,1,0,1,6,25,11,10,1
"18","Health services           ",3,31,16,15,11,19,5,19,10,2,3,7,24,1,5,0,5,17,78,32,48,29
"19","Teaching-research         ",2,33,27,31,9,18,27,24,3,4,43,8,18,3,11,1,3,12,188,62,83,14
"20","Transportation            ",2,19,2,12,12,21,0,1,4,5,5,1,3,3,13,0,1,23,10,20,35,14
"21","Insurance-banking         ",8,12,4,8,13,21,2,10,4,2,5,6,3,1,10,0,3,7,44,25,24,10
"22","Domestic workers          ",0,8,0,4,5,2,7,1,5,7,2,1,2,2,11,1,1,23,1,34,3,2
"23","Other services            ",8,35,14,13,16,10,6,25,6,4,10,9,11,4,14,0,1,33,82,79,35,11
"24","Printing-publishing       ",2,13,2,14,5,8,0,10,0,8,3,2,5,4,11,0,2,17,19,27,24,11
"25","Private services          ",3,26,9,3,12,5,8,8,4,4,2,3,10,3,8,0,2,21,16,77,9,1
"26","No answer                 ",0,14,15,3,4,4,3,4,1,1,2,1,5,1,3,0,3,7,15,19,11,5
