"Q 1"	"Q 2"	"Q 3"	"Q 4"	"Q 5"	"Q 6"
"Iceland"	1	1	1	1	1	1
"Norway"	0.857142857142857	0.833333333333333	1	1	1	0.8
"Sweden"	1	0.636363636363636	1	1	0.5	0.666666666666667
"Finland"	1	0.666666666666667	1	1	0.833333333333333	0.666666666666667
"Denmark"	0.923076923076923	0.692307692307692	1	0.75	0.363636363636364	0.538461538461538
"UK"	0.631578947368421	0.888888888888889	1	0.95	0.526315789473684	1
"Ireland"	1	0.666666666666667	1	0	0	1
"Germany"	1	1	1	0.857142857142857	0.153846153846154	0.92857142857143
"Netherlands"	1	1	1	0.875	0.714285714285714	0.875
"Belgium"	0	1	1	0.5	0	1
"Switzerland"	1	1	1	0.5	0	1
"France"	0.3	0.875	0.625	0.2	0	0.875
"Spain"	0.0833333333333333	1	0.8	0.545454545454545	0	1
"Portugal"	0.166666666666667	1	0.666666666666667	0.5	0	1
"Italy"	0.466666666666667	1	0.92857142857143	0.4	0.133333333333333	1
"Greece"	0.125	1	0.625	0.125	0	1
"Yugoslavia"	0.266666666666667	1	0.533333333333333	0.266666666666667	0	1
"Albania"	0.4	0.6	0.4	0.4	0.6	0.6
"Bulgaria"	0	1	0.333333333333333	0	0	1
"Romania"	0	1	0.142857142857143	0.142857142857143	0.142857142857143	1
"Hungary"	0.2	1	0.8	0	0	1
"Czechoslovakia"	0.0606060606060606	0.97142857142857	0.088235294117647	0	0	0.571428571428571
"Poland"	0	1	0.263157894736842	0.105263157894737	0	0.947368421052632
"Russia"	0	0.857142857142857	0.285714285714286	0	0	0.857142857142857
"Lithuania"	0	1	0	0	0	1
"Latvia"	0	1	0	0	0	1
"Estonia"	0.666666666666667	1	1	0	0	1
