"ID"	"Group"	"WD1"	"WD8"	"WD15"	"WD22"	"WD29"	"WD36"	"WD43"	"WD44"	"WD50"	"WD57"	"WD64"
"1"	1	1	240	250	255	260	262	258	266	266	265	272	278
"2"	2	1	225	230	230	232	240	240	243	244	238	247	245
"3"	3	1	245	250	250	255	262	265	267	267	264	268	269
"4"	4	1	260	255	255	265	265	268	270	272	274	273	275
"5"	5	1	255	260	255	270	270	273	274	273	276	278	280
"6"	6	1	260	265	270	275	275	277	278	278	284	279	281
"7"	7	1	275	275	260	270	273	274	276	271	282	281	284
"8"	8	1	245	255	260	268	270	265	265	267	273	274	278
"9"	9	2	410	415	425	428	438	443	442	446	456	468	478
"10"	10	2	405	420	430	440	448	460	458	464	475	484	496
"11"	11	2	445	445	450	452	455	455	451	450	462	466	472
"12"	12	2	555	560	565	580	590	597	595	595	612	618	628
"13"	13	3	470	465	475	485	487	493	493	504	507	518	525
"14"	14	3	535	525	530	533	535	540	525	530	543	544	559
"15"	15	3	520	525	530	540	543	546	538	544	553	555	548
"16"	16	3	510	510	520	515	530	538	535	542	550	553	569
