case;set;source;sex;age;agecat;education;profstatus;position;si1;si2;si3;si17;si13;si14;si15;si4;si25;si5;si26;si6;si27;si28;si7;si18;si20;si21;si9;si10;si11;si22;si8;si23;si19;si16;si29;si30;si12;si24;si31;si32
633;validation;daycare;male; ; ;collegevocational;working;employee;4;5;4;5;3;4;4;3;4;4;5;4;4;3;4;4;4;5;3;3;4;3;6;4;5;4;4;1;1;6;4;4
970;validation;student;male;36-45;old;academic;other; ;4;4;4;4;6;5;5;5;3;4;4;4;3;3;4;4;5;3;3;3;;4;3;4;5;5;4;2;3;3;4;4
360;validation;company;male;26-30;young; ;working;employee;4;4;5;5;4;5;5;4;4;4;4;6;4;3;4;4;6;5;3;5;4;5;5;3;4;4;4;3;3;4;3;3
699;validation;company;male;46-55;old; ;working;employee;4;5;4;4;4;4;3;5;3;5;4;5;4;5;5;3;4;5;1;5;1;5;5;5;5;4;4;1;0;5;4;5
524;validation;student;male;26-30;young;academic;working; ;5;5;5;5;3;5;4;5;5;5;3;5;3;4;5;4;5;3;2;5;2;3;4;4;5;4;4;2;1;5;5;4
1 036;validation;daycare;male; ; ;collegevocational;working;employee;3;5;4;6;4;4;4;5;5;5;5;6;4;5;4;5;6;4;3;6;3;4;4;4;5;5;5;3;3;5;5;5
435;validation;student;male;16-20;young;collegevocational;student; ;4;4;4;5;5;3;3;4;3;2;5;4;2;2;4;2;3;4;5;5;2;4;4;4;6;2;4;2;2;4;5;2
123;validation;student;male;46-55;old;collegevocational;working; ;6;4;4;6;6;6;6;6;4;4;2;4;4;2;3;2;6;5;2;5;1;4;5;4;4;5;4;3;3;6;2;3
273;validation;company;male;46-55;old; ;working;manager;6;5;5;6;5;5;6;6;6;5;5;5;6;5;6;3;5;5;2;6;1;5;6;5;6;4;6;0;1;6;5;6
745;validation;student;male;21-25;young;academic;student; ;4;4;6;5;6;4;4;4;3;5;3;5;3;3;2;4;3;3;3;1;1;4;4;4;5;4;6;0;1;4;4;4
768;validation;student;male;21-25;young;academic;student; ;4;5;5;5;5;4;4;4;4;5;5;6;3;4;4;3;6;6;4;5;4;5;3;5;4;5;6;1;4;3;5;5
533;validation;student;male;21-25;young;collegevocational;student; ;3;3;4;4;3;3;4;3;4;4;3;4;3;3;4;3;3;6;4;3;3;3;5;5;5;3;3;3;4;3;3;2
