"chall"	"perot"
37.92675	11.68032
38.2433	10.75909
29.76948	11.89173
32.75101	14.80878
53.76603	9.22018
47.78949	28.95518
53.4998	25.99152
31.29479	19.824
35.85672	27.24396
31.10242	25.56025
30.88721	20.39124
25.83619	8.24354
51.37588	23.96101
30.03008	25.62503
44.02253	21.86238
47.84477	25.3931
27.05625	17.98272
26.33875	16.93233
11.8075	8.54801
24.6394	8.93622
25.31226	15.73229
34.41255	20.01628
32.95333	23.38055
34.0216	20.53542
24.78612	19.9379
49.74556	18.39041
35.14684	15.57927
34.7561	21.08348
43.30508	27.07216
41.32637	21.66964
33.06094	18.90218
44.26492	19.02684
38.47836	20.81104
29.51862	13.46617
37.43052	15.99879
35.6879	18.02676
14.47099	9.25876
33.02299	24.89032
46.46751	21.35543
42.54268	23.679
41.70204	25.42855
44.94332	23.0317
31.79623	23.08613
32.35661	26.80131
37.50385	27.3613
43.80343	28.78047
31.16147	17.88216
34.93248	24.38783
42.15869	24.92354
26.54405	22.63727
39.07136	25.35683
31.31692	19.46582
49.20171	27.41886
34.32127	19.95136
28.41216	15.69332
41.62409	22.87553
26.55626	24.41858
45.74739	23.14317
26.53523	19.48782
34.6442	21.48221
31.45607	20.34159
41.07711	24.60551
43.42574	23.85538
43.46621	19.71856
49.23471	25.72691
39.16006	24.93707
33.22173	10.37923
36.92715	15.91462
41.64223	17.47889
54.75962	14.63997
27.86625	7.32954
42.2597	14.95619
42.67612	15.02034
44.28533	15.32181
24.3261	12.79185
23.36116	15.92011
39.22222	27.62744
36.47887	20.05544
40.5756	16.06415
34.49425	20.20142
16.2021	6.76586
42.04818	21.76768
28.44068	11.57275
35.49017	15.58509
44.34176	20.18237
28.75543	17.24919
31.64444	21.13052
32.6563	21.89071
40.60462	18.63577
55.6327	21.5852
39.89929	17.17579
42.22723	16.93272
30.85761	18.23663
43.49661	19.88466
30.57727	16.67797
40.90458	21.57823
42.55458	19.18728
37.93813	22.36325
51.02488	23.12813
27.83971	20.32849
40.51907	21.96983
46.31587	17.7009
30.32285	18.66776
35.37603	16.9362
31.42789	19.10688
49.01455	17.81107
37.22269	17.49359
30.02168	29.49034
42.09838	27.67953
39.31216	24.6636
44.89896	26.71708
38.57332	13.85968
47.26149	12.58633
38.52805	16.74673
45.38066	10.41734
34.98877	28.27151
46.08978	33.22131
34.89085	19.36167
26.49096	13.75287
45.30038	15.57349
14.69555	6.3573
27.47388	12.06259
45.73665	25.28274
36.9189	24.97897
53.21501	23.44925
27.89919	22.31726
54.9958	24.70684
30.92149	20.68955
23.62111	20.6505
28.61188	23.31678
37.12661	19.11057
35.75722	24.58757
38.18913	21.95504
49.32485	23.4941
45.49183	20.76724
45.40221	21.96652
46.46574	17.45846
45.17355	16.77708
16.21813	5.68736
17.61979	4.62999
32.53445	19.68812
25.96256	26.54071
34.31438	24.4255
38.90189	20.67629
30.68598	18.16101
57.18127	27.01006
49.33972	23.42108
33.40533	24.36732
38.65136	8.79634
23.62307	5.41094
18.80104	8.0578
25.02692	8.22805
35.89404	13.55681
31.94254	12.51735
51.447	23.21726
34.09241	23.6492
29.61798	25.38823
38.25478	21.59699
55.44644	27.41437
38.36041	18.4756
37.04384	17.26878
48.79202	24.47609
40.29294	24.20743
48.78204	20.05499
28.30593	26.80222
39.63246	24.86549
47.91457	28.12161
44.40564	23.00524
36.67721	22.53433
29.7844	19.71127
42.60118	20.32491
38.31282	18.14369
36.17754	19.08356
25.61975	16.5304
46.05022	16.60103
38.78267	12.27778
20.45481	8.40605
26.7943	15.58456
32.27782	16.68248
37.36111	15.7479
43.54713	18.5662
30.75713	14.60687
48.26807	21.4642
53.17382	19.49474
46.20976	12.1824
18.95971	6.1236
43.05029	9.17889
40.52408	12.53943
51.11557	7.14354
8.55714	3.27346
14.41015	5.01692
44.44823	9.38136
39.94339	17.34134
30.77738	14.21248
35.4037	17.58972
34.57419	22.43264
30.67075	22.54586
44.27236	22.22447
36.47272	24.77474
44.34496	17.88015
43.32651	26.96101
25.65785	25.67657
45.23089	14.27241
44.25199	14.70714
34.27856	14.33595
46.4194	13.43486
29.2146	16.3759
41.8597	13.62811
38.83267	13.89337
32.67845	14.74172
34.70309	14.89561
45.34874	14.19377
29.93329	18.7706
40.33128	18.32471
38.59406	23.12375
50.71661	20.02042
28.74471	21.56153
26.0211	23.41536
22.8604	19.9937
56.79478	22.48224
22.08939	10.13193
28.76331	18.04096
32.23809	23.11048
36.27635	23.85536
15.83815	24.3602
31.72691	22.83734
47.21206	21.02255
42.51088	21.6338
24.90862	24.57253
29.25265	24.84827
32.22704	22.80521
32.83601	26.7117
19.4511	21.18149
28.56738	25.51976
35.96706	24.91782
19.08444	8.27218
22.56938	6.29146
39.88098	16.50468
33.6514	17.4576
53.17989	21.87782
32.90642	19.63132
27.01591	15.39046
52.82048	21.55772
35.16164	19.23212
30.49496	17.84333
38.55728	17.63929
43.13685	19.67033
49.26994	20.11498
31.96031	20.43938
26.12645	22.05308
25.71278	24.54486
32.94436	13.95428
38.84402	13.40963
51.46784	12.24146
38.7464	12.29611
27.97821	21.88557
29.40175	11.7138
26.27743	11.13911
49.29721	11.69856
33.71193	11.45771
28.29488	10.07421
41.79332	12.18226
36.54945	9.83321
32.95918	4.09858
43.72655	21.91398
39.58553	30.21647
38.77294	25.72785
28.10361	30.00817
22.96733	22.5654
44.78508	20.87152
27.91861	20.28714
32.59695	22.95746
37.23015	27.78629
39.66818	20.37698
28.58644	22.21022
39.57243	13.18471
48.11005	14.48528
33.93203	25.88358
33.48019	11.39417
22.07508	16.58131
24.75394	22.81055
31.10172	22.00754
60.56473	16.78313
40.20411	26.0278
42.51221	17.78173
26.88638	32.23678
43.4463	16.63246
30.03816	29.29576
38.35643	27.1233
40.21204	16.29211
43.94069	17.05855
31.62341	13.77112
31.0938	12.15318
42.57541	11.18637
36.91265	12.15596
34.40471	16.54248
44.62905	25.8666
44.02739	24.74338
44.82119	22.91492
30.35743	24.77739
19.56582	15.49862
29.10139	15.90572
34.3613	12.78492
41.43468	23.39802
37.3444	17.73847
42.51879	24.13798
32.85105	20.88387
47.12558	24.68106
35.5744	24.30153
29.90611	24.2568
28.62503	21.85695
40.46942	25.79011
