Id      	Gender  	Age     	G1      	G2      	G3      	G4      	G5      	G6      	G7      	G8      	G9      	G10     	G11     	GamblF  	GFalla  	SensaS  	SuperS  	EconG   	PareG   	PeerG   	Nsymp   	P3prob  	P2prob  
      1	  2	 13.41666667	  0	  1	  0	  0	  0	  0	  1	  0	  0	  0	  0	  2	  5	 21	 18	 30	  0	  0	  0	  0	  0
      2	  1	 13.83333333	  0	  0	  0	  0	  1	  0	  0	  0	  2	  2	  0	  5	  2	 36	 11	 35	  1	   	  0	  0	  0
      3	  2	 13.83333333	  1	  0	  0	  0	  0	  0	  0	  0	  3	  1	  0	  5	  3	 17	 11	 39	  1	  0	  0	  0	  0
      4	  2	 13.83333333	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  1	  6	 24	 26	 38	  0	  0	  0	  0	  0
      5	  2	 13.83333333	  1	  0	  0	  0	  0	  3	  0	  0	  0	  0	  0	  4	  6	 25	 24	 36	  1	  0	  1	  1	  1
      6	  2	 13.83333333	  3	  1	  2	  0	  0	  1	  1	  2	  4	  0	  0	 14	  2	 34	 18	 26	  1	  1	  3	  2	  1
      7	  1	 13.91666667	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	 15	 14	 44	  0	  0	  0	  0	  0
      8	  1	 13.91666667	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  1	  2	  6	 27	 21	 30	  1	  1	  0	  0	  0
      9	  1	 13.91666667	  2	  2	  1	  1	  1	  1	  0	  0	  3	  1	  0	 12	  1	 27	 24	 25	  0	  1	  1	  1	  1
     10	  2	 13.91666667	  2	  0	  0	  0	  0	  0	  1	  0	  2	  3	  0	  8	  6	 20	 23	 41	  0	  0	  0	  0	  0
     11	  2	 13.91666667	  0	  0	  1	  0	  0	  0	  0	  1	  2	  3	  0	  7	  6	 21	 18	 32	  1	  0	  0	  0	  0
     12	  2	 13.91666667	  1	  0	  0	  0	  0	  1	  0	  1	  2	  2	  0	  7	  6	 19	 25	 32	  0	  1	  0	  0	  0
     13	  2	 13.91666667	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  3	 16	 28	 40	  0	  0	  0	  0	  0
     14	  2	 13.91666667	  3	  3	  2	  2	  0	  0	  0	  0	  2	  0	  0	 12	  4	 23	   	 36	  1	  1	  1	  1	  1
     15	  1	 14.00000000	  0	  0	  0	  1	  0	  0	  0	  0	  2	  0	  0	  3	  6	 33	  8	 34	  1	  1	  0	  0	  0
     16	  2	 14.00000000	  1	  0	  0	  0	  0	  1	  1	  0	  0	  0	  0	  3	   	 23	 28	 34	  0	   	  0	  0	  0
     17	  2	 14.00000000	  1	  1	  0	  0	  0	  1	  1	  0	  0	  0	  0	  4	  3	 32	 20	 45	  0	  0	  0	  0	  0
     18	  2	 14.00000000	  1	  0	  2	  0	  0	  1	  1	  0	  2	  2	  0	  9	  5	 33	 26	 30	  0	  0	  0	  0	  0
     19	  2	 14.00000000	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  6	 12	 20	 37	  0	  1	  0	  0	  0
     20	  2	 14.00000000	  3	  1	  1	  0	  0	  0	  1	  0	  1	  0	  0	  7	  5	 12	 16	 43	  1	  0	  1	  1	  1
     21	  2	 14.00000000	  2	  2	  0	  2	  0	  0	  2	  0	  0	  0	  0	  8	  2	 15	 17	 31	  1	  1	  1	  0	  0
     22	  2	 14.00000000	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  3	 18	 18	 35	  1	  1	  1	  0	  0
     23	  2	 14.00000000	  3	  0	  0	  1	  0	  0	  0	  2	  3	  3	  0	 12	  6	 28	 19	 26	  0	  1	  2	  1	  1
     24	  1	 14.08333333	  0	  0	  0	  0	  0	  0	  0	  0	  1	  3	  0	  4	  6	 18	 21	 42	  1	  1	  0	  0	  0
     25	  1	 14.08333333	  1	  0	  0	  1	  0	  0	  1	  0	  2	  0	  0	  5	  6	 24	  9	 34	  0	  1	  1	  0	  0
     26	  2	 14.08333333	  1	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  2	  2	 31	 22	 34	  1	  1	  0	  0	  0
     27	  2	 14.08333333	  1	  0	  1	  0	  0	  1	  0	  0	  0	  0	  0	  3	  6	 22	 13	 38	  0	  1	  0	  0	  0
     28	  2	 14.08333333	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  3	 21	 23	 41	  0	  0	  0	  0	  0
